name,full_name,topics,description,created_at,stargazers_count,forks_count,license,days_since_created,avg_forks_per_day,avg_stars_per_day,categories
evals,openai/evals,no topic,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.",2023-01-23,13672,2478,Other,442,6.0,31.0,Model repo
peft,huggingface/peft,"adapter, diffusion, llm, lora, parameter-efficient-learning, python, pytorch, transformers",🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,2022-11-25,13491,1207,Apache License 2.0,501,2.0,27.0,Model development
LLMs-from-scratch,rasbt/LLMs-from-scratch,"chatgpt, gpt, large-language-models, llm, python, pytorch","Implementing a ChatGPT-like LLM from scratch, step by step",2023-07-23,13268,1098,Other,261,4.0,51.0,Tutorials
candle,huggingface/candle,no topic,Minimalist ML framework for Rust,2023-06-19,13066,688,Apache License 2.0,295,2.0,44.0,Model repo
open-webui,open-webui/open-webui,"ai, chromadb, llm, llm-ui, llm-webui, llms, ollama, ollama-webui, open-webui, rag, self-hosted, ui, webui",User-friendly WebUI for LLMs (Formerly Ollama WebUI),2023-10-06,12177,1197,MIT License,186,6.0,65.0,Applications
FastGPT,labring/FastGPT,"gpt, gpt-35-turbo, gpt-4, gpt35, llm, nextjs, openai, rag, react","FastGPT is a knowledge-based platform built on the LLM, offers out-of-the-box data processing and model invocation capabilities, allows for workflow orchestration through Flow visualization!",2023-02-23,11977,2965,Other,411,7.0,29.0,Model development
botpress,botpress/botpress,"agent, ai, botpress, chatbot, chatgpt, gpt, gpt-4, langchain, llm, nlp, openai, prompt",The open-source hub to build & deploy GPT/LLM Agents ⚡️,2016-11-16,11878,1633,MIT License,2701,1.0,4.0,Model repo
RWKV-LM,BlinkDL/RWKV-LM,"attention-mechanism, chatgpt, deep-learning, gpt, gpt-2, gpt-3, language-model, linear-attention, lstm, pytorch, rnn, rwkv, transformer, transformers","RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding.",2021-08-08,11464,792,Apache License 2.0,975,1.0,12.0,Model development
crewAI,joaomdmoura/crewAI,"agents, ai, ai-agents, llms","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",2023-10-27,11391,1413,MIT License,165,9.0,69.0,Applications
PaddleNLP,PaddlePaddle/PaddleNLP,"bert, compression, distributed-training, document-intelligence, embedding, ernie, information-extraction, llama, llm, neural-search, nlp, paddlenlp, pretrained-models, question-answering, search-engine, semantic-analysis, sentiment-analysis, transformers, uie","👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc.",2021-02-05,11297,2796,Apache License 2.0,1159,2.0,10.0,Model repo
the-incredible-pytorch,ritchieng/the-incredible-pytorch,"deep-learning, deep-learning-library, deep-learning-tutorial, deep-neural-networks, python, pytorch","The Incredible PyTorch: a curated list of tutorials, papers, projects, communities and more relating to PyTorch. ",2017-02-11,10947,2063,MIT License,2614,1.0,4.0,Lists
dolly,databrickslabs/dolly,"chatbot, databricks, dolly, gpt","Databricks’ Dolly, a large language model trained on the Databricks Machine Learning Platform",2023-03-24,10772,1157,Apache License 2.0,382,3.0,28.0,Model development
ludwig,ludwig-ai/ludwig,"computer-vision, data-centric, data-science, deep, deep-learning, deeplearning, fine-tuning, learning, llama, llama2, llm, llm-training, machine-learning, machinelearning, mistral, ml, natural-language, natural-language-processing, neural-network, pytorch","Low-code framework for building custom LLMs, neural networks, and other AI models",2018-12-27,10747,1162,Apache License 2.0,1930,1.0,6.0,Model development
pandas-ai,Sinaptik-AI/pandas-ai,"ai, csv, data, data-analysis, data-science, database, datalake, gpt-3, gpt-4, llm, pandas, sql","Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG.",2023-04-22,10697,952,Other,353,3.0,30.0,Model development
DB-GPT,eosphoros-ai/DB-GPT,"agents, bgi, database, gpt, gpt-4, langchain, llm, private, rag, security, vicuna",AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents,2023-04-13,10693,1317,MIT License,362,4.0,30.0,Applications
langchainjs,langchain-ai/langchainjs,no topic,🦜🔗 Build context-aware reasoning applications 🦜🔗,2023-02-06,10644,1749,MIT License,428,4.0,25.0,Applications
Qwen,QwenLM/Qwen,"chinese, flash-attention, large-language-models, llm, natural-language-processing, pretrained-models",The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,2023-08-03,10374,849,Apache License 2.0,250,3.0,41.0,Model repo
h2ogpt,h2oai/h2ogpt,"ai, chatgpt, embeddings, generative, gpt, gpt4all, llama2, llm, mixtral, pdf, private, privategpt, vectorstore","Private chat with local GPT with document, images, video, etc. 100% private, Apache 2.0. Supports oLLaMa, Mixtral, llama.cpp, and more. Demo: https://gpt.h2o.ai/ https://codellama.h2o.ai/",2023-03-24,10249,1139,Apache License 2.0,382,3.0,27.0,Model repo
llama-gpt,getumbrel/llama-gpt,"ai, chatgpt, code-llama, codellama, gpt, gpt-4, gpt4all, llama, llama-2, llama-cpp, llama2, llamacpp, llm, localai, openai, self-hosted","A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!",2023-07-22,10226,643,MIT License,262,2.0,39.0,Model repo
nn-zero-to-hero,karpathy/nn-zero-to-hero,no topic,Neural Networks: Zero to Hero,2022-09-08,10140,1177,MIT License,579,2.0,18.0,Tutorials
continue,continuedev/continue,"ai, chatgpt, copilot, developer-tools, intellij, jetbrains, llm, open-source, openai, pycharm, software-development, visual-studio-code, vscode",⏩ The easiest way to code with any LLM—Continue is an open-source autopilot for VS Code and JetBrains,2023-05-24,10051,588,Apache License 2.0,321,2.0,31.0,Infrastructure
open-llms,eugeneyan/open-llms,"commercial, large-language-models, llm, llms",📋 A list of open LLMs available for commercial use.,2023-05-05,10001,598,Apache License 2.0,340,2.0,29.0,Lists
Awesome-Diffusion-Models,diff-usion/Awesome-Diffusion-Models,"artificial-intelligence, diffusion-models, generative-model, machine-learning, score-based, score-matching", A collection of resources and papers on Diffusion Models,2021-09-18,9895,858,MIT License,934,1.0,11.0,Model repo
NeMo,NVIDIA/NeMo,"asr, deeplearning, generative-ai, large-language-models, machine-translation, multimodal, neural-networks, speaker-diariazation, speaker-recognition, speech-synthesis, speech-translation, tts",NeMo: a framework for generative AI,2019-08-05,9890,2104,Apache License 2.0,1709,1.0,6.0,Model development
gitbutler,gitbutlerapp/gitbutler,"git, github, tauri","The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",2023-01-31,9859,408,Other,434,1.0,23.0,Model repo
awesome-chatgpt-zh,yzfly/awesome-chatgpt-zh,"agi, ai, awesome, awesome-list, chat-gpt, chatglm, chatgpt, chatgpt3, chatgpt35-turbo, claude, deeplearning, gpt, gpt-4, langchain, openai, openai-chatgpt, prompt, prompt-engineering, tools",ChatGPT 中文指南🔥，ChatGPT 中文调教指南，指令指南，应用开发指南，精选资源清单，更好的使用 chatGPT 让你的生产力 up up up! 🚀,2023-03-21,9766,826,MIT License,385,2.0,25.0,Tutorials
gorilla,ShishirPatil/gorilla,"api, api-documentation, chatgpt, claude-api, gpt-4-api, llm, openai-api, openai-functions",Gorilla: An API store for LLMs,2023-05-19,9753,719,Apache License 2.0,326,2.0,30.0,Model repo
ml-engineering,stas00/ml-engineering,"ai, large-language-models, llm, machine-learning, machine-learning-engineering, mlops, pytorch, scalability, slurm, transformers",Machine Learning Engineering Open Book,2020-09-02,9630,569,Creative Commons Attribution Share Alike 4.0 International,1315,0.0,7.0,Model repo
lists,jnv/lists,"awesome, awesome-list, curated-lists, hacktoberfest-not-accepted, lists, resources",The definitive list of lists (of lists) curated on GitHub and elsewhere,2013-11-14,9512,688,Creative Commons Zero v1.0 Universal,3799,0.0,3.0,Lists
ggml,ggerganov/ggml,"automatic-differentiation, large-language-models, machine-learning, tensor-algebra",Tensor library for machine learning,2022-09-18,9467,845,MIT License,569,1.0,17.0,Model repo
nlp_course,yandexdataschool/nlp_course,no topic,YSDA course in Natural Language Processing,2018-09-08,9404,2506,MIT License,2040,1.0,5.0,Tutorials
weaviate,weaviate/weaviate,"approximate-nearest-neighbor-search, generative-search, grpc, hnsw, hybrid-search, image-search, information-retrieval, mlops, nearest-neighbor-search, neural-search, recommender-system, search-engine, semantic-search, semantic-search-engine, similarity-search, vector-database, vector-search, vector-search-engine, vectors, weaviate","Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",2016-03-30,9311,619,"BSD 3-Clause ""New"" or ""Revised"" License",2932,0.0,3.0,Infrastructure
qlora,artidoro/qlora,no topic,QLoRA: Efficient Finetuning of Quantized LLMs,2023-05-11,9276,761,MIT License,334,2.0,28.0,Model development
ChatRWKV,BlinkDL/ChatRWKV,"chatbot, chatgpt, language-model, pytorch, rnn, rwkv","ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13,9251,677,Apache License 2.0,452,1.0,20.0,Model repo
FlexGen,FMInference/FlexGen,"deep-learning, gpt-3, high-throughput, large-language-models, machine-learning, offloading, opt",Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15,8964,516,Apache License 2.0,419,1.0,21.0,Model development
web-llm,mlc-ai/web-llm,"chatgpt, deep-learning, language-model, llm, tvm, webgpu, webml",Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.,2023-04-13,8936,536,Apache License 2.0,362,1.0,25.0,Infrastructure
OpenLLM,bentoml/OpenLLM,"ai, bentoml, falcon, fine-tuning, llama, llama2, llm, llm-inference, llm-ops, llm-serving, llmops, mistral, ml, mlops, model-inference, mpt, open-source-llm, openllm, stablelm, vicuna",Operating LLMs in production,2023-04-19,8594,538,Apache License 2.0,356,2.0,24.0,Model development
mistral-src,mistralai/mistral-src,"llm, llm-inference, mistralai",Reference implementation of Mistral AI 7B v0.1 model.,2023-09-27,8482,725,Apache License 2.0,195,4.0,43.0,Model repo
MemGPT,cpacker/MemGPT,"chat, chatbot, gpt, gpt-4, llm, llm-agent",Building persistent LLM agents with long-term memory 📚🦙,2023-10-11,8392,932,Apache License 2.0,181,5.0,46.0,Model development
embedchain,embedchain/embedchain,"ai, application, chatbots, chatgpt, embeddings, llm, python, rag, vector-database",Personalizing LLM Responses,2023-06-20,8371,1027,Apache License 2.0,294,3.0,28.0,Model development
nebuly,nebuly-ai/nebuly,"ai, analytics, artificial-intelligence, deeplearning, large-language-models, llm",The user analytics platform for LLMs,2022-02-12,8369,651,Apache License 2.0,787,1.0,11.0,Infrastructure
Megatron-LM,NVIDIA/Megatron-LM,"large-language-models, model-para, transformers",Ongoing research training transformer models at scale,2019-03-21,8356,1865,Other,1846,1.0,5.0,Model development
ImageAI,OlafenwaMoses/ImageAI,"ai-practice-recommendations, algorithm, artificial-intelligence, artificial-neural-networks, densenet, detection, gpu, image-prediction, image-recognition, imageai, inceptionv3, machine-learning, object-detection, offline-capable, prediction, python, python3, squeezenet, video",A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities,2018-03-19,8355,2157,MIT License,2213,1.0,4.0,Applications
llama-recipes,meta-llama/llama-recipes,"ai, finetuning, langchain, llama, llama2, llm, machine-learning, python, pytorch, vllm","Scripts for fine-tuning Llama2 with composable FSDP & PEFT methods to cover single/multi-node GPUs. Supports default & custom datasets for applications such as summarization & question answering. Supporting a number of candid inference solutions such as HF TGI, VLLM for local or cloud deployment.Demo apps to showcase Llama2 for WhatsApp & Messenger",2023-07-17,8147,1157,Other,267,4.0,31.0,Model repo
shell_gpt,TheR1D/shell_gpt,"chatgpt, cheat-sheet, cli, commands, gpt-3, gpt-4, linux, llama, llm, ollama, openai, productivity, python, shell, terminal","A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.",2023-01-18,8131,636,MIT License,447,1.0,18.0,Applications
gpt-researcher,assafelovic/gpt-researcher,no topic,GPT based autonomous agent that does online comprehensive research on any given topic,2023-05-12,7996,1014,MIT License,333,3.0,24.0,Model development
awesome-honeypots,paralax/awesome-honeypots,"awesome, awesome-list, honeyd, honeypot, list",an awesome list of honeypot resources,2015-06-18,7970,1214,Artistic License 2.0,3218,0.0,2.0,Lists
